Strategy_Type,Metric_Category,Metric_Name,Value,Unit,Year,Description
Comparison,Efficiency,SBL_Net_Cost_10_Years,2045000,USD,10,After-tax interest: $204.75K × 10 years
Comparison,Efficiency,Sale_Tax_Plus_Opportunity_Cost,9169500,USD,10,Tax ($1.67M) + Foregone growth ($7.5M)
Comparison,Efficiency,SBL_Advantage_10_Year,7124500,USD,10,Net benefit of credit strategy vs. sale
Comparison,Efficiency,Breakeven_Analysis,3.1,Years,3,Years until SBL outperforms outright sale
SBL_Credit,Foundation_Funding,Initial_Foundation_Endowment,5000000,USD,0,Seed capital via SBL proceeds
SBL_Credit,Foundation_Funding,Foundation_Annual_Return_Assumption,7.5,Percent,0,Conservative endowment return target
SBL_Credit,Foundation_Funding,Foundation_Year_5_Value,6029000,USD,5,Seed + $70760/yr contribution at 2.5% net (7.5% return minus 5% payout)
SBL_Credit,Foundation_Funding,Foundation_Year_10_Value,7193000,USD,10,Seed + $70760/yr contribution at 2.5% net (7.5% return minus 5% payout)
SBL_Credit,Foundation_Funding,Cumulative_Grants_Disbursed,2500000,USD,10,Conservative lower bound: seed x 5% payout x 10 years
SBL_Credit,Loan_Paydown,Year_6_Partial_Paydown,1000000,USD,6,Reduce principal from portfolio income
SBL_Credit,Loan_Paydown,Year_8_Partial_Paydown,1500000,USD,8,Further deleveraging as foundation matures
SBL_Credit,Loan_Paydown,Year_10_Final_Payoff,2500000,USD,10,Full loan satisfaction from portfolio gains
SBL_Credit,Loan_Paydown,Total_Loan_Repayment_Source,Portfolio_Income,Qualitative,0,No asset sales required for payback
SBL_Credit,Banking_Relationship,JPM_Household_Credit_Limit,15000000,USD,0,Total available credit across all products
SBL_Credit,Banking_Relationship,SBL_Utilization_Rate,33.3,Percent,0,Conservative usage of total credit capacity
SBL_Credit,Banking_Relationship,Mortgage_Credit_Available,5000000,USD,0,Additional residential lending capacity
SBL_Credit,Banking_Relationship,Unsecured_LOC_Available,2000000,USD,0,Liquidity backstop for emergencies
SBL_Credit,Banking_Relationship,Total_Banking_Revenue_to_JPM,425000,USD,1,Interest income + wealth management fees
Alternative_Strategy,1031_Exchange_RE,Defer_Capital_Gains_Tax,Yes,Boolean,0,Alternative tax strategy for real estate
Alternative_Strategy,Donor_Advised_Fund,Charitable_Deduction_Upfront,5000000,USD,0,DAF allows immediate tax benefit
Alternative_Strategy,Charitable_Remainder_Trust,Income_Stream_to_Client,Yes,Boolean,0,CRT provides income + estate benefits
Alternative_Strategy,Qualified_Small_Business_Stock,Section_1202_Exclusion,10000000,USD,0,Potential QSBS gain exclusion if applicable
